DAILY REVENUE,,,,,,,,
EOM,DATE,DAY,No.,CLUB,Description,link ce,to link pnl,REV
45838,45809,1,,CVC,Group Class,,,
45838,45809,1,,CVC,Supplement,Supplement,Supplement,0
45838,45809,1,,CVC,VAS,,,0
45838,45809,1,,CVC,Retail & Califresh,Califresh and Retail,Califresh and Retail,140.012132767138
45838,45809,1,,CVC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,25,WPC,CC,NMS,NMS,631.163393708293
45838,45809,1,,WPC,CS,,,
45838,45809,1,,WPC,Gym,,,
45838,45809,1,,WPC,PT,PT,PT,0
45838,45809,1,,WPC,CES,PT,PT,0
45838,45809,1,,WPC,Stretching,PT,PT,0
45838,45809,1,,WPC,Kickfit,PT,PT,0
45838,45809,1,,WPC,Mixed,PT,PT,0
45838,45809,1,,WPC,Pilates,PT,PT,0
45838,45809,1,,WPC,Physio,PT,PT,0
