,30-Jun-26,USD,,,,,,,,,,,,,,,,,,,
,Today,6/16/2026,,,,,,,,,,,,,,,,,,,
,,,,30-Jun-25,31-Jul-25,31-Aug-25,30-Sep-25,31-Oct-25,30-Nov-25,31-Dec-25,31-Jan-26,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,30-Jun-26,30-Jun-26,,,
No.,Club,Categories,,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Target,MTD,Projection,% Target,MoM,YoY
,LMC,,,,,,,,,,,,,,,,,,,,
,LMC,Chi phí biến đổi theo doanh thu,Total Variable Cost," 78,865 "," 57,383 "," 55,704 "," 63,415 "," 64,801 "," 84,621 "," 89,774 "," 55,189 "," 15,659 "," 60,555 "," 61,912 "," 46,626 "," 79,485 "," 16,176 "," 30,329 ",38%,-35%,-62%
,LMC,Chi phí lương,Total Staffing cost," 33,982 "," 34,111 "," 36,765 "," 39,032 "," 36,986 "," 42,200 "," 41,734 "," 42,981 "," 39,330 "," 39,774 "," 40,394 "," 38,648 "," 39,411 "," 21,078 "," 39,521 ",100%,2%,16%
,LMC,Chi phí lương - NMS,Staffing - NMS," 9,582 "," 9,492 "," 10,015 "," 9,956 "," 8,613 "," 10,779 "," 11,469 "," 12,032 "," 10,143 "," 10,520 "," 11,615 "," 11,296 "," 10,822 "," 6,110 "," 11,456 ",106%,1%,20%
,LMC,Chi phí lương - PT,Staffing - PT," 9,968 "," 10,655 "," 10,888 "," 12,312 "," 12,774 "," 16,092 "," 13,518 "," 14,245 "," 13,883 "," 14,362 "," 13,390 "," 12,034 "," 13,300 "," 6,780 "," 12,712 ",96%,6%,28%
,LMC,Chi phí lương - Hypoxi,Staffing - Hypoxi," 1,198 "," 1,221 "," 1,464 "," 2,083 "," 1,702 "," 1,684 "," 1,931 "," 1,992 "," 2,016 ", 995 , 985 , 964 , 985 , 520 , 974 ,99%,1%,-19%
,LMC,Chi phí lương - Califresh,Staffing - CAA, 964 ," 1,119 "," 1,288 "," 1,357 "," 1,344 "," 1,185 "," 1,495 "," 1,238 ", 783 ," 1,288 "," 1,208 "," 1,200 "," 1,278 ", 642 ," 1,204 ",94%,0%,25%
,LMC,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,LMC,Chi phí lương - Yoga,Staffing - Yoga," 3,929 "," 3,429 "," 3,661 "," 3,632 "," 3,687 "," 3,661 "," 4,146 "," 3,669 "," 3,690 "," 3,690 "," 3,647 "," 3,656 "," 3,647 "," 1,947 "," 3,651 ",100%,0%,-7%
,LMC,Chi phí lương - GX,Staffing - GX, 296 , 269 , 279 , 292 , 532 , 265 , 294 , 287 , 217 , 318 , 431 , 449 , 431 , 235 , 440 ,102%,-2%,49%
,LMC,Chi phí lương - MS,Staffing - MS," 6,901 "," 6,762 "," 8,111 "," 8,299 "," 7,247 "," 7,417 "," 7,769 "," 8,336 "," 7,470 "," 7,457 "," 8,054 "," 7,941 "," 7,885 "," 4,265 "," 7,998 ",101%,1%,16%
,LMC,Chi phí lương - CMO,Staffing - CMO," 1,144 "," 1,163 "," 1,059 "," 1,102 "," 1,087 "," 1,118 "," 1,113 "," 1,182 "," 1,128 "," 1,143 "," 1,063 "," 1,108 "," 1,063 ", 579 ," 1,086 ",102%,-2%,-5%
,LMC,Chi phí cố định,Total Fixed cost," 28,321 "," 30,632 "," 30,492 "," 28,521 "," 31,552 "," 32,596 "," 29,878 "," 30,374 "," 23,232 "," 26,098 "," 32,446 "," 32,152 "," 29,589 "," 17,226 "," 32,299 ",109%,0%,14%
,LMC,Sửa chữa & bảo trì,Repair & maintenance," 1,621 "," 3,484 "," 2,600 "," 1,562 "," 2,490 "," 2,872 ", 954 ," 2,926 "," 1,213 "," 1,878 "," 2,036 "," 1,240 "," 1,787 ", 874 ," 1,638 ",92%,32%,1%
,LMC,Vật tư tiêu hao,Supplies," 3,794 "," 4,390 "," 4,666 "," 4,260 "," 4,847 "," 4,640 "," 4,717 "," 4,314 "," 2,744 "," 2,892 "," 4,323 "," 5,447 "," 4,299 "," 2,605 "," 4,885 ",114%,-10%,29%
,LMC,Vật tư tiêu hao,Utilities," 10,935 "," 10,229 "," 10,495 "," 10,297 "," 11,668 "," 11,808 "," 11,045 "," 10,566 "," 7,841 "," 8,796 "," 11,677 "," 11,678 "," 10,601 "," 6,228 "," 11,677 ",110%,0%,7%
,LMC,Chi phí chung khác,Other OH," 11,971 "," 12,528 "," 12,731 "," 12,402 "," 12,548 "," 13,277 "," 13,162 "," 12,569 "," 11,433 "," 12,531 "," 14,410 "," 13,787 "," 12,902 "," 7,519 "," 14,099 ",109%,2%,18%
,LMC,Giặt khăn,Laundry Service," 4,140 "," 4,402 "," 4,693 "," 4,382 "," 4,281 "," 4,467 "," 4,121 "," 4,207 "," 2,963 "," 4,311 "," 5,748 "," 5,785 "," 5,766 "," 3,075 "," 5,766 ",100%,0%,39%
,LMC,Bảo vệ,Security, 946 , 912 , 938 , 937 , 909 , 940 , 909 , 945 , 894 , 852 , 416 , 416 , 416 , 222 , 416 ,100%,0%,-56%
,LMC,Vệ sinh,Cleaning_Center," 4,549 "," 4,532 "," 4,511 "," 4,506 "," 4,519 "," 4,721 "," 4,930 "," 5,189 "," 5,374 "," 5,212 "," 5,292 "," 5,198 "," 5,245 "," 2,797 "," 5,245 ",100%,1%,15%
,LMC,Khác,Others," 2,337 "," 2,682 "," 2,589 "," 2,578 "," 2,839 "," 3,148 "," 3,201 "," 2,228 "," 2,202 "," 2,157 "," 2,954 "," 2,389 "," 1,475 "," 1,425 "," 2,672 ",181%,12%,14%
,LMC,Chi phí cố định - Thuê,Total Fixed cost-rental," 54,830 "," 59,579 "," 61,863 "," 60,664 "," 60,919 "," 58,953 "," 58,630 "," 59,223 "," 67,323 "," 60,313 "," 60,479 "," 61,380 "," 60,930 "," 32,496 "," 60,930 ",100%,-1%,11%
,LMC,Chi phí cố định - Khác,Total Fixed costs - Others," 2,756 "," 3,849 "," 2,718 "," 3,360 "," 3,487 "," 3,529 "," 4,590 "," 5,024 "," 3,509 "," 3,578 "," 3,580 "," 4,430 "," 4,005 "," 2,136 "," 4,005 ",100%,-10%,45%
,LMC,TỔNG CHI PHÍ,TOTAL COST," 198,755 "," 185,554 "," 187,543 "," 194,991 "," 197,746 "," 221,898 "," 224,606 "," 192,791 "," 149,054 "," 190,317 "," 198,812 "," 183,238 "," 213,420 "," 89,112 "," 167,085 ",78%,-9%,-16%
,LMC,,,,,,,,,,,,,,,,,,,,
,LMC,CASH EBITDA,," 63,379 "," (2,078)"," 2,811 "," 29,795 "," 9,481 "," 29,433 "," 37,032 "," 9,348 "," (90,000)"," 17,646 "," 17,720 "," 16,483 "," 58,580 "," (33,758)"," (63,297)",-40%,-39%,-44%
,LMC,CASH EBITDA MARGIN,,24%,-1%,1%,13%,5%,12%,14%,5%,-152%,8%,8%,8%,22%,-61%,-61%,,,
,LMC,Staffing % Revenue,,13%,19%,19%,17%,18%,17%,16%,21%,67%,19%,19%,19%,14%,38%,38%,,,
,LMC,Fixed cost % Revenue,,11%,17%,16%,13%,15%,13%,11%,15%,39%,13%,15%,16%,11%,31%,31%,,,
,LMC,Fixed cost -Rental % Revenue,,21%,32%,32%,27%,29%,23%,22%,29%,114%,29%,28%,31%,22%,59%,59%,,,
,,,,,,,,,,,,,,,,,,,,,
24,GDC,Doanh thu NMS,NMS," 32,108 "," 34,987 "," 32,564 "," 28,101 "," 27,015 "," 28,005 "," 21,894 "," 19,999 "," 11,416 "," 39,761 "," 38,726 "," 28,380 "," 50,000 "," 18,500 "," 34,687 ",69%,22%,8%
,GDC,Doanh thu PT,PT," 31,091 "," 39,528 "," 39,920 "," 53,689 "," 34,010 "," 42,643 "," 29,887 "," 25,097 "," 6,720 "," 36,602 "," 48,341 "," 93,333 "," 110,000 "," 35,949 "," 67,405 ",61%,-28%,117%
,GDC,Doanh thu Supplement,Supplement, 875 ," 1,136 ", 670 , 734 , 887 , 727 , 141 , 141 , -   , 563 ," 1,743 "," 1,863 "," 6,000 ", 497 , 932 ,16%,-50%,7%
,GDC,Doanh thu Y&I,Y&I, -   ," 1,973 ", -   , -   , 245 ," 1,721 ", -   ," 2,034 ", -   ," 2,058 ", 985 ," 1,717 ", -   , -   , -   ,0%,-100%,0%
,GDC,Doanh thu Hypoxi,Hypoxi, 595 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,-100%
,GDC,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,GDC,Doanh thu Califresh & Retail,Califresh and Retail," 4,044 "," 3,197 "," 4,707 "," 4,438 "," 4,756 "," 4,508 "," 4,443 "," 3,798 "," 2,141 "," 4,130 "," 4,605 "," 5,763 "," 4,975 "," 3,394 "," 6,364 ",128%,10%,57%
,GDC,TỔNG DOANH THU,TOTAL REVENUE," 68,712 "," 80,822 "," 77,860 "," 86,962 "," 66,914 "," 77,603 "," 56,365 "," 51,069 "," 20,277 "," 83,113 "," 94,401 "," 131,056 "," 163,000 "," 58,340 "," 109,388 ",67%,-17%,59%
,GDC,,,,,,,,,,,,,,,,,,,,
,GDC,Chi phí biến đổi theo doanh thu,Total Variable Cost," 25,471 "," 26,145 "," 28,260 "," 32,868 "," 24,337 "," 26,517 "," 24,734 "," 19,895 "," 6,344 "," 27,931 "," 44,812 "," 44,187 "," 63,275 "," 22,647 "," 42,464 ",67%,-4%,67%
,GDC,Chi phí lương,Total Staffing cost," 22,874 "," 22,993 "," 22,437 "," 25,038 "," 22,811 "," 23,255 "," 26,442 "," 27,043 "," 23,743 "," 25,014 "," 33,033 "," 31,506 "," 32,053 "," 17,211 "," 32,270 ",101%,2%,41%
,GDC,Chi phí lương - NMS,Staffing - NMS," 6,074 "," 6,359 "," 6,449 "," 7,640 "," 6,811 "," 6,448 "," 8,187 "," 8,955 "," 6,527 "," 6,712 "," 5,348 "," 3,885 "," 4,555 "," 2,462 "," 4,616 ",101%,19%,-24%
,GDC,Chi phí lương - PT,Staffing - PT," 8,320 "," 7,922 "," 6,942 "," 7,715 "," 7,176 "," 7,504 "," 7,467 "," 8,092 "," 8,084 "," 8,795 "," 16,953 "," 16,741 "," 16,863 "," 8,985 "," 16,847 ",100%,1%,102%
,GDC,Chi phí lương - Hypoxi,Staffing - Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,GDC,Chi phí lương - Califresh,Staffing - CAA," 1,139 "," 1,066 "," 1,129 "," 1,516 "," 1,074 "," 1,308 "," 1,181 "," 1,303 "," 1,104 "," 1,024 "," 1,453 "," 1,406 "," 1,522 ", 762 ," 1,430 ",94%,2%,26%
,GDC,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,GDC,Chi phí lương - Yoga,Staffing - Yoga," 1,592 "," 2,156 "," 1,890 "," 1,876 "," 1,902 "," 1,723 "," 3,169 "," 1,910 "," 1,888 "," 1,861 "," 1,878 "," 1,239 "," 1,878 ", 831 ," 1,558 ",83%,26%,-2%
,GDC,Chi phí lương - GX,Staffing - GX, 582 , 383 , 447 , 448 , 430 , 528 , 339 , 526 , 538 , 740 , 881 ," 1,222 ", 881 , 561 ," 1,052 ",119%,-14%,81%
,GDC,Chi phí lương - MS,Staffing - MS," 4,607 "," 4,544 "," 4,859 "," 5,063 "," 4,641 "," 4,940 "," 5,300 "," 5,373 "," 4,765 "," 5,057 "," 5,747 "," 6,226 "," 5,581 "," 3,193 "," 5,987 ",107%,-4%,30%
,GDC,Chi phí lương - CMO,Staffing - CMO, 560 , 563 , 721 , 779 , 777 , 802 , 800 , 884 , 837 , 825 , 773 , 788 , 773 , 416 , 780 ,101%,-1%,39%
,GDC,Chi phí cố định,Total Fixed cost," 23,510 "," 22,368 "," 24,152 "," 23,459 "," 23,886 "," 24,304 "," 23,222 "," 21,317 "," 20,214 "," 20,764 "," 27,512 "," 26,912 "," 23,947 "," 14,513 "," 27,212 ",114%,1%,16%
,GDC,Sửa chữa & bảo trì,Repair & maintenance," 1,006 ", 802 ," 1,211 "," 1,452 "," 1,111 "," 1,513 "," 1,993 ", 693 ," 1,604 "," 1,306 ", 846 ," 1,176 ", 885 , 539 ," 1,011 ",114%,-14%,1%
,GDC,Vật tư tiêu hao,Supplies," 1,090 "," 1,348 "," 1,363 "," 1,121 "," 1,331 "," 1,465 "," 1,496 "," 1,438 "," 1,135 "," 1,090 "," 1,913 "," 2,201 "," 1,501 "," 1,097 "," 2,057 ",137%,-7%,89%
,GDC,Vật tư tiêu hao,Utilities," 14,097 "," 13,441 "," 14,044 "," 13,640 "," 13,834 "," 13,464 "," 12,505 "," 12,009 "," 10,660 "," 10,736 "," 16,796 "," 15,426 "," 13,766 "," 8,593 "," 16,111 ",117%,4%,14%
,GDC,Chi phí chung khác,Other OH," 7,317 "," 6,777 "," 7,534 "," 7,247 "," 7,610 "," 7,863 "," 7,228 "," 7,177 "," 6,814 "," 7,632 "," 7,957 "," 8,108 "," 7,795 "," 4,284 "," 8,033 ",103%,-1%,10%
,GDC,Giặt khăn,Laundry Service," 1,815 "," 1,775 "," 1,997 "," 1,879 "," 1,824 "," 1,993 "," 2,039 "," 1,975 "," 1,414 "," 1,911 "," 2,597 "," 2,743 "," 2,670 "," 1,424 "," 2,670 ",100%,-3%,47%
,GDC,Bảo vệ,Security, 709 , 684 , 703 , 703 , 682 , 705 , 682 , 709 , 711 , 639 , 361 , 361 , 361 , 193 , 361 ,100%,0%,-49%
,GDC,Vệ sinh,Cleaning_Center," 3,123 "," 3,112 "," 3,097 "," 3,094 "," 3,103 "," 3,438 "," 3,436 "," 3,464 "," 3,466 "," 3,455 "," 3,433 "," 3,673 "," 3,553 "," 1,895 "," 3,553 ",100%,-3%,14%
,GDC,Khác,Others," 1,669 "," 1,206 "," 1,737 "," 1,572 "," 2,001 "," 1,726 "," 1,070 "," 1,029 "," 1,224 "," 1,627 "," 1,566 "," 1,332 "," 1,211 ", 773 ," 1,449 ",120%,9%,-13%
,GDC,Chi phí cố định - Thuê,Total Fixed cost-rental," 29,970 "," 29,566 "," 30,216 "," 29,914 "," 30,585 "," 35,388 "," 33,662 "," 33,511 "," 35,037 "," 32,112 "," 32,265 "," 30,635 "," 31,450 "," 16,773 "," 31,450 ",100%,3%,5%
,GDC,Chi phí cố định - Khác,Total Fixed costs - Others," 1,526 "," 1,301 "," 1,435 "," 1,671 "," 1,573 "," 1,421 "," 1,825 "," 1,928 "," 1,460 "," 1,560 "," 2,274 "," 2,537 "," 2,406 "," 1,283 "," 2,406 ",100%,-5%,58%
,GDC,TỔNG CHI PHÍ,TOTAL COST," 103,351 "," 102,374 "," 106,501 "," 112,949 "," 103,191 "," 110,885 "," 109,886 "," 103,694 "," 86,797 "," 107,381 "," 139,897 "," 135,777 "," 153,131 "," 72,427 "," 135,801 ",89%,0%,31%
,GDC,,,,,,,,,,,,,,,,,,,,
,GDC,CASH EBITDA,," (34,638)"," (21,552)"," (28,641)"," (25,987)"," (36,277)"," (33,282)"," (53,522)"," (52,625)"," (66,520)"," (24,268)"," (45,496)"," (4,721)"," 9,869 "," (14,087)"," (26,412)",-22%,-17%,28%
,GDC,CASH EBITDA MARGIN,,-50%,-27%,-37%,-30%,-54%,-43%,-95%,-103%,-328%,-29%,-48%,-4%,6%,-24%,-24%,,,
,GDC,Staffing % Revenue,,33%,28%,29%,29%,34%,30%,47%,53%,117%,30%,35%,24%,20%,30%,30%,,,
,GDC,Fixed cost % Revenue,,34%,28%,31%,27%,36%,31%,41%,42%,100%,25%,29%,21%,15%,25%,25%,,,
,GDC,Fixed cost -Rental % Revenue,,44%,37%,39%,34%,46%,46%,60%,66%,173%,39%,34%,23%,19%,29%,29%,,,
,,,,,,,,,,,,,,,,,,,,,
25,GMC,Doanh thu NMS,NMS," 58,929 "," 44,043 "," 40,074 "," 49,019 "," 37,721 "," 47,785 "," 41,582 "," 37,919 "," 10,093 "," 63,302 "," 48,720 "," 47,310 "," 70,000 "," 14,951 "," 28,033 ",40%,-41%,-52%
,GMC,Doanh thu PT,PT," 24,910 "," 26,018 "," 37,771 "," 31,093 "," 29,610 "," 24,094 "," 27,719 "," 24,566 "," 2,176 "," 48,260 "," 49,870 "," 44,554 "," 59,000 "," 3,095 "," 5,803 ",10%,-87%,-77%
,GMC,Doanh thu Supplement,Supplement, 606 , 737 , 845 , 572 ," 1,546 ", 377 , 565 , 469 , 47 , 726 ," 1,047 ", 554 , -   , -   , -   ,0%,-100%,-100%
,GMC,Doanh thu Y&I,Y&I, -   ," 1,532 "," 2,081 ", -   ," 1,081 ", -   ," 1,509 ", -   , 155 ," 7,825 "," 1,111 ", 170 , -   , 792 ," 1,486 ",0%,772%,0%
,GMC,Doanh thu Hypoxi,Hypoxi," 6,030 "," 1,723 "," 3,132 "," 4,917 "," 3,529 "," 1,947 "," 2,916 "," 1,789 ", -   ," 2,044 "," 3,067 ", 758 ," 2,000 ", -   , -   ,0%,-100%,-100%
,GMC,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,GMC,Doanh thu Califresh & Retail,Califresh and Retail," 3,221 "," 2,847 "," 3,411 "," 3,196 "," 3,255 "," 3,104 "," 3,338 "," 2,854 "," 1,460 "," 2,821 "," 3,370 "," 3,109 "," 1,000 ", 937 ," 1,756 ",176%,-44%,-45%
,GMC,TỔNG DOANH THU,TOTAL REVENUE," 93,697 "," 76,900 "," 87,313 "," 88,797 "," 76,742 "," 77,307 "," 77,628 "," 67,597 "," 13,931 "," 124,977 "," 107,185 "," 96,454 "," 132,000 "," 19,775 "," 37,078 ",28%,-62%,-60%
,GMC,,,,,,,,,,,,,,,,,,,,
,GMC,Chi phí biến đổi theo doanh thu,Total Variable Cost," 31,213 "," 24,002 "," 28,459 "," 28,746 "," 29,787 "," 25,806 "," 26,833 "," 22,034 "," 6,465 "," 33,862 "," 31,562 "," 24,384 "," 37,900 "," 5,678 "," 10,646 ",28%,-56%,-66%
,GMC,Chi phí lương,Total Staffing cost," 23,305 "," 21,991 "," 26,201 "," 26,989 "," 26,204 "," 27,815 "," 27,207 "," 31,046 "," 28,199 "," 27,445 "," 24,970 "," 25,855 "," 23,418 "," 13,553 "," 25,412 ",109%,-2%,9%
,GMC,Chi phí lương - NMS,Staffing - NMS," 7,456 "," 7,091 "," 7,574 "," 7,179 "," 7,130 "," 7,716 "," 8,469 "," 8,825 "," 8,065 "," 8,105 "," 6,651 "," 7,439 "," 5,857 "," 3,757 "," 7,045 ",120%,-5%,-6%
,GMC,Chi phí lương - PT,Staffing - PT," 5,550 "," 4,708 "," 5,740 "," 6,200 "," 6,143 "," 6,339 "," 7,172 "," 7,366 "," 7,377 "," 5,864 "," 5,587 "," 5,462 "," 5,497 "," 2,947 "," 5,525 ",101%,1%,0%
,GMC,Chi phí lương - Hypoxi,Staffing - Hypoxi, 674 , 728 ," 1,276 "," 1,387 "," 1,626 "," 1,722 "," 1,280 "," 2,551 ", 830 ," 1,884 "," 1,194 "," 1,326 ", 646 , 672 ," 1,260 ",195%,-5%,87%
,GMC,Chi phí lương - Califresh,Staffing - CAA," 1,102 ", 678 , 970 ," 1,163 ", 733 ," 1,209 "," 1,176 "," 1,264 ", 262 , 793 , 771 , 777 , 841 , 413 , 774 ,92%,0%,-30%
,GMC,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,GMC,Chi phí lương - Yoga,Staffing - Yoga," 2,607 "," 2,283 "," 3,503 "," 3,559 "," 3,579 "," 3,527 "," 2,212 "," 3,596 "," 3,613 "," 3,547 "," 3,496 "," 3,528 "," 3,496 "," 1,873 "," 3,512 ",100%,0%,35%
,GMC,Chi phí lương - GX,Staffing - GX, 324 , 316 , 314 , 317 , 315 , 292 , 290 , 286 , 256 , 297 , 341 , 314 , 341 , 175 , 327 ,96%,4%,1%
,GMC,Chi phí lương - MS,Staffing - MS," 4,748 "," 5,343 "," 6,041 "," 6,427 "," 5,911 "," 6,208 "," 5,809 "," 6,283 "," 6,935 "," 6,105 "," 6,161 "," 6,179 "," 5,971 "," 3,291 "," 6,170 ",103%,0%,30%
,GMC,Chi phí lương - CMO,Staffing - CMO, 844 , 845 , 782 , 759 , 768 , 803 , 800 , 874 , 861 , 850 , 769 , 829 , 769 , 426 , 799 ,104%,-4%,-5%
,GMC,Chi phí cố định,Total Fixed cost," 22,684 "," 23,502 "," 24,445 "," 22,959 "," 24,914 "," 27,824 "," 24,401 "," 23,458 "," 17,386 "," 21,820 "," 24,545 "," 24,342 "," 23,582 "," 13,037 "," 24,444 ",104%,0%,8%
,GMC,Sửa chữa & bảo trì,Repair & maintenance," 1,653 "," 1,591 "," 2,237 "," 1,423 "," 2,304 "," 4,112 "," 1,733 "," 1,527 ", 729 ," 1,614 "," 1,273 ", 303 ," 1,843 ", 420 , 788 ,43%,160%,-52%
,GMC,Vật tư tiêu hao,Supplies," 2,233 "," 2,347 "," 2,360 "," 2,140 "," 2,282 "," 2,044 "," 1,994 "," 1,934 "," 1,769 "," 1,536 "," 1,619 "," 2,363 "," 1,577 "," 1,062 "," 1,991 ",126%,-16%,-11%
,GMC,Vật tư tiêu hao,Utilities," 11,083 "," 11,558 "," 11,904 "," 11,890 "," 12,521 "," 13,614 "," 12,390 "," 12,288 "," 8,795 "," 11,360 "," 13,371 "," 13,850 "," 12,366 "," 7,259 "," 13,610 ",110%,-2%,23%
,GMC,Chi phí chung khác,Other OH," 7,715 "," 8,005 "," 7,945 "," 7,506 "," 7,806 "," 8,054 "," 8,284 "," 7,709 "," 6,093 "," 7,309 "," 8,283 "," 7,826 "," 7,796 "," 4,296 "," 8,055 ",103%,3%,4%
,GMC,Giặt khăn,Laundry Service," 2,413 "," 2,482 "," 2,544 "," 2,347 "," 2,252 "," 2,437 "," 2,456 "," 2,424 "," 1,577 "," 2,161 "," 2,802 "," 2,701 "," 2,752 "," 1,468 "," 2,752 ",100%,2%,14%
,GMC,Bảo vệ,Security, 690 , 684 , 717 , 680 , 682 , 682 , 713 , 709 , 711 , 639 , 361 , 361 , 361 , 193 , 361 ,100%,0%,-48%
,GMC,Vệ sinh,Cleaning_Center," 2,889 "," 2,871 "," 2,864 "," 2,861 "," 2,870 "," 2,872 "," 2,870 "," 2,978 "," 2,319 "," 2,991 "," 2,966 "," 2,981 "," 2,973 "," 1,586 "," 2,973 ",100%,0%,3%
,GMC,Khác,Others," 1,723 "," 1,969 "," 1,819 "," 1,618 "," 2,003 "," 2,063 "," 2,244 "," 1,598 "," 1,485 "," 1,519 "," 2,154 "," 1,784 "," 1,710 "," 1,050 "," 1,969 ",115%,10%,14%
,GMC,Chi phí cố định - Thuê,Total Fixed cost-rental," 18,962 "," 34,829 "," 29,089 "," 29,093 "," 29,423 "," 29,368 "," 29,382 "," 29,221 "," 32,238 "," 27,025 "," 28,365 "," 28,670 "," 28,517 "," 15,209 "," 28,517 ",100%,-1%,50%
,GMC,Chi phí cố định - Khác,Total Fixed costs - Others," 1,748 "," 1,629 "," 1,409 "," 1,840 "," 1,659 "," 1,808 "," 1,800 "," 2,178 "," 1,293 "," 2,357 "," 1,996 "," 2,114 "," 2,055 "," 1,096 "," 2,055 ",100%,-3%,18%
,GMC,TỔNG CHI PHÍ,TOTAL COST," 97,913 "," 105,954 "," 109,603 "," 109,627 "," 111,986 "," 112,620 "," 109,624 "," 107,937 "," 85,581 "," 112,508 "," 111,438 "," 105,365 "," 115,472 "," 48,573 "," 91,074 ",79%,-14%,-7%
,GMC,,,,,,,,,,,,,,,,,,,,
,GMC,CASH EBITDA,," (4,216)"," (29,054)"," (22,290)"," (20,829)"," (35,244)"," (35,313)"," (31,995)"," (40,340)"," (71,651)"," 12,469 "," (4,253)"," (8,911)"," 16,528 "," (28,798)"," (53,996)",-51%,-48%,-53%
,GMC,CASH EBITDA MARGIN,,-4%,-38%,-26%,-23%,-46%,-46%,-41%,-60%,-514%,10%,-4%,-9%,13%,-146%,-146%,,,
,GMC,Staffing % Revenue,,25%,29%,30%,30%,34%,36%,35%,46%,202%,22%,23%,27%,18%,69%,69%,,,
,GMC,Fixed cost % Revenue,,24%,31%,28%,26%,32%,36%,31%,35%,125%,17%,23%,25%,18%,66%,66%,,,
,GMC,Fixed cost -Rental % Revenue,,20%,45%,33%,33%,38%,38%,38%,43%,231%,22%,26%,30%,22%,77%,77%,,,
,,,,,,,,,,,,,,,,,,,,,
26,VTC,Doanh thu NMS,NMS," 15,522 "," 17,860 "," 12,083 "," 16,675 "," 26,076 "," 19,634 "," 17,823 "," 17,706 "," 14,575 "," 19,166 "," 15,106 "," 20,703 "," 35,000 "," 8,252 "," 15,473 ",44%,-25%,0%
,VTC,Doanh thu PT,PT," 25,020 "," 18,961 "," 14,080 "," 8,785 "," 23,061 "," 7,663 "," 17,273 "," 5,803 ", 236 ," 6,023 "," 2,108 "," 7,091 "," 26,000 "," 4,765 "," 8,935 ",34%,26%,-64%
,VTC,Doanh thu Supplement,Supplement, 619 , 333 , 414 , 269 , 558 , 252 , 377 , 234 , -   , 118 , 77 , 236 ," 1,000 ", 98 , 184 ,18%,-22%,-70%
,VTC,Doanh thu Y&I,Y&I, -   , -   ," 2,108 ", -   , 245 , -   ," 1,120 ", 531 , -   , -   , -   , 273 , -   , -   , -   ,0%,-100%,0%
,VTC,Doanh thu Hypoxi,Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,VTC,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,VTC,Doanh thu Califresh & Retail,Califresh and Retail," 1,534 "," 2,243 "," 2,101 ", 733 ," 2,205 "," 1,848 "," 2,065 "," 1,882 ", 942 ," 1,820 "," 1,642 "," 1,673 "," 2,500 ", 703 ," 1,318 ",53%,-21%,-14%
,VTC,TỔNG DOANH THU,TOTAL REVENUE," 42,696 "," 39,398 "," 30,786 "," 26,462 "," 52,145 "," 29,397 "," 38,658 "," 26,156 "," 15,753 "," 27,128 "," 18,933 "," 29,975 "," 53,000 "," 13,819 "," 25,910 ",49%,-14%,-39%
,VTC,,,,,,,,,,,,,,,,,,,,
,VTC,Chi phí biến đổi theo doanh thu,Total Variable Cost," 15,887 "," 15,723 "," 13,940 "," 12,102 "," 19,185 "," 12,166 "," 16,269 "," 12,463 "," 3,296 "," 11,758 "," 8,719 "," 10,527 "," 21,845 "," 5,696 "," 10,679 ",49%,1%,-33%
,VTC,Chi phí lương,Total Staffing cost," 17,881 "," 18,624 "," 20,563 "," 22,399 "," 19,799 "," 20,763 "," 21,421 "," 16,339 "," 16,939 "," 17,340 "," 17,765 "," 17,346 "," 16,408 "," 9,363 "," 17,555 ",107%,1%,-2%
,VTC,Chi phí lương - NMS,Staffing - NMS," 3,410 "," 4,168 "," 4,580 "," 5,345 "," 4,196 "," 4,673 "," 4,319 "," 3,622 "," 4,898 "," 4,857 "," 4,790 "," 3,408 "," 3,745 "," 2,186 "," 4,099 ",109%,20%,20%
,VTC,Chi phí lương - PT,Staffing - PT," 5,703 "," 5,444 "," 6,384 "," 7,343 "," 6,167 "," 6,213 "," 7,342 "," 3,066 "," 2,950 "," 2,992 "," 2,722 "," 4,032 "," 2,631 "," 1,801 "," 3,377 ",128%,-16%,-41%
